"荷主コード","荷主名","拠点コード","拠点名","商品コード","枝番","商品名","上位商品コード","JANコード","ITFコード","カテゴリー名","仕入先コード","仕入先名","在庫数","数量単位","引当数","未引当数","入荷実績数","出荷実績数","属性１","属性２","属性３","ロットNo","製造日","賞味期限","入荷日","在庫区分名","入庫No","出荷期限","最終入庫日","最終出庫日"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933075","","★【ビール】Yuzu White Wonder【310ml】","","","","","","","225","","0","225","0","0","","","","","","2027/08/31","2026/08/20","通常品","260820067668","2027/08/31","2026/08/20","2026/09/02"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933075","","★【ビール】Yuzu White Wonder【310ml】","","","","","","","1","","0","1","0","0","B級品","","","","","2027/04/30","2026/05/26","通常品","260731066920","2027/04/30","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933105","","★【ビール】Eisbock Wonder 001【310ml】","","","","","","","205","","0","205","0","60","","","","","","2026/10/31","2025/10/28","通常品","260731066921","2026/10/31","2026/08/24","2026/09/02"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933105","","★【ビール】Eisbock Wonder 001【310ml】","","","","","","","14","","0","14","0","0","","","","","","2026/10/31","2026/02/04","通常品","260731066923","2026/10/31","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933105","","★【ビール】Eisbock Wonder 001【310ml】","","","","","","","1","","0","1","0","0","","","","","","2026/10/31","2026/03/17","通常品","260731066924","2026/10/31","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933105","","★【ビール】Eisbock Wonder 001【310ml】","","","","","","","10","","0","10","0","0","","","","","","2026/10/31","2026/05/26","通常品","260731066925","2026/10/31","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933105","","★【ビール】Eisbock Wonder 001【310ml】","","","","","","","4","","0","4","0","0","","","","","","2026/10/31","2026/07/31","通常品","260731066861","2026/10/31","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933112","","★【ビール】Barrel Wonder Amber Ale 001【310ml】","","","","","","","78","","0","78","0","60","","","","","","2026/10/31","2025/10/28","通常品","260731066926","2026/10/31","2026/07/31","2026/08/28"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933112","","★【ビール】Barrel Wonder Amber Ale 001【310ml】","","","","","","","10","","0","10","0","0","","","","","","2026/10/31","2026/02/04","通常品","260731066927","2026/10/31","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933112","","★【ビール】Barrel Wonder Amber Ale 001【310ml】","","","","","","","2","","0","2","0","0","","","","","","2026/10/31","2026/03/17","通常品","260731066928","2026/10/31","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933112","","★【ビール】Barrel Wonder Amber Ale 001【310ml】","","","","","","","8","","0","8","0","0","","","","","","2026/10/31","2026/05/26","通常品","260731066929","2026/10/31","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933112","","★【ビール】Barrel Wonder Amber Ale 001【310ml】","","","","","","","6","","0","6","0","0","","","","","","2026/10/31","2026/07/31","通常品","260731066862","2026/10/31","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933129","","★【リキュール】STRAWBERRY WONDER【200ml】","","","","","","","1","","0","1","0","0","","","","","","","2026/05/26","通常品","260526064854","","2026/05/26",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933129","","★【リキュール】STRAWBERRY WONDER【200ml】","","","","","","","1","","0","1","0","0","B","","","","","","2025/09/02","通常品","250902050092","","2025/09/02",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933150","","★【ウイスキー】Bourbon【5年】","","","","","","","16","","0","16","0","0","","","","","","","2026/01/06","通常品","260106059887","","2026/01/06","2026/08/17"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933204","","★【ビール】NON ALE WONDER【310ml】","","","","","","","170","","0","170","0","168","","","","","","2026/08/31","2025/08/26","通常品","260731066930","2026/08/31","2026/07/31","2026/08/27"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933204","","★【ビール】NON ALE WONDER【310ml】","","","","","","","2","","0","2","0","0","","","","","","2026/08/31","2026/03/17","通常品","260731066931","2026/08/31","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933204","","★【ビール】NON ALE WONDER【310ml】","","","","","","","12","","0","12","0","0","","","","","","2026/08/31","2026/03/19","通常品","260731066932","2026/08/31","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933204","","★【ビール】NON ALE WONDER【310ml】","","","","","","","24","","0","24","0","0","","","","","","2026/08/31","2026/05/26","通常品","260731066933","2026/08/31","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933204","","★【ビール】NON ALE WONDER【310ml】","","","","","","","8","","0","8","0","0","","","","","","2026/08/31","2026/07/31","通常品","260731066863","2026/08/31","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933235","","★【リキュール】★002★ MANGO WONDER【200ml】","","","","","","","5","","0","5","0","0","","","","","","","2025/12/22","通常品","251222059677","","2025/12/22",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933235","","★【リキュール】★002★ MANGO WONDER【200ml】","","","","","","","9","","0","9","0","0","","","","","","","2026/02/04","通常品","260204060614","","2026/02/04",""
