"荷主コード","荷主名","拠点コード","拠点名","商品コード","枝番","商品名","上位商品コード","JANコード","ITFコード","カテゴリー名","仕入先コード","仕入先名","在庫数","数量単位","引当数","未引当数","入荷実績数","出荷実績数","属性１","属性２","属性３","ロットNo","製造日","賞味期限","入荷日","在庫区分名","入庫No","出荷期限","最終入庫日","最終出庫日"
"000250","CRAFT WONDER","001","ソネッティーク","giftbox","","●【ギフトボックス】ビール ギフト用","","","","","","","1","","0","1","0","0","","","","","","","2026/05/26","通常品","260526064858","","2026/05/26",""
"000250","CRAFT WONDER","001","ソネッティーク","giftbox","","●【ギフトボックス】ビール ギフト用","","","","","","","12","","0","12","0","0","","","","","","","2026/06/01","通常品","260601065123","","2026/06/01",""
"000250","CRAFT WONDER","001","ソネッティーク","giftbox","","●【ギフトボックス】ビール ギフト用","","","","","","","8","","0","8","0","0","","","","","","","2026/06/26","通常品","260626065611","","2026/06/26",""
"000250","CRAFT WONDER","001","ソネッティーク","giftbox","","●【ギフトボックス】ビール ギフト用","","","","","","","8","","0","8","0","0","B級品","","","","","","2026/07/31","通常品","260731066868","","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","giftbox_P","","▲【ノベルティ】ビール 紙袋","","","","","","","2457","","2","2455","0","9","","","","","","","2025/08/27","通常品","250827049596","","2026/03/06","2026/09/02"
"000250","CRAFT WONDER","001","ソネッティーク","giftbox_P","","▲【ノベルティ】ビール 紙袋","","","","","","","64","","0","64","0","0","","","","","","","2026/01/22","通常品","260122060162","","2026/01/29","2026/04/10"
"000250","CRAFT WONDER","001","ソネッティーク","giftbox_P","","▲【ノベルティ】ビール 紙袋","","","","","","","196","","0","196","0","0","","","","","","","2026/02/04","通常品","260204060619","","2026/06/26",""
"000250","CRAFT WONDER","001","ソネッティーク","giftbox_P","","▲【ノベルティ】ビール 紙袋","","","","","","","120","","0","120","0","0","","","","","","","2026/03/31","通常品","260331063440","","2026/04/01",""
"000250","CRAFT WONDER","001","ソネッティーク","giftbox_P","","▲【ノベルティ】ビール 紙袋","","","","","","","340","","0","340","0","0","","","","","","","2026/05/15","通常品","260515064697","","2026/05/15",""
"000250","CRAFT WONDER","001","ソネッティーク","giftbox_P","","▲【ノベルティ】ビール 紙袋","","","","","","","20","","0","20","0","0","","","","","","","2026/05/21","通常品","260521064773","","2026/05/21",""
"000250","CRAFT WONDER","001","ソネッティーク","giftbox_P","","▲【ノベルティ】ビール 紙袋","","","","","","","92","","0","92","0","0","","","","","","","2026/06/01","通常品","260601065124","","2026/06/01",""
"000250","CRAFT WONDER","001","ソネッティーク","leaflet","","▲【ノベルティ】ビール リーフレット","","","","","","","229","","2","227","0","9","","","","","","","2026/06/30","通常品","260630065614","","2026/06/30","2026/09/02"
"000250","CRAFT WONDER","001","ソネッティーク","leaflet","","▲【ノベルティ】ビール リーフレット","","","","","","","8","","0","8","0","0","","","","","","","2026/07/31","通常品","260731066869","","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","leaflet","","▲【ノベルティ】ビール リーフレット","","","","","","","1","","0","1","0","0","B級品","","","","","","2026/05/26","通常品","260526064859","","2026/05/26",""
"000250","CRAFT WONDER","001","ソネッティーク","leaflet","","▲【ノベルティ】ビール リーフレット","","","","","","","1","","0","1","0","0","B級品","","","","","","2026/06/01","通常品","260601065126","","2026/06/01",""
"000250","CRAFT WONDER","001","ソネッティーク","leaflet_w","","▲【ノベルティ】ウイスキー リーフレット","","","","","","","1260","","0","1260","0","1","","","","","","","2025/08/27","通常品","250827049598","","2025/08/28","2026/08/28"
"000250","CRAFT WONDER","001","ソネッティーク","leaflet_w","","▲【ノベルティ】ウイスキー リーフレット","","","","","","","1","","0","1","0","0","","","","","","","2026/05/26","通常品","260526064851","","2026/05/26",""
"000250","CRAFT WONDER","001","ソネッティーク","leaflet_w","","▲【ノベルティ】ウイスキー リーフレット","","","","","","","2","","0","2","0","0","","","","","","","2026/06/01","通常品","260601065127","","2026/06/01",""
"000250","CRAFT WONDER","001","ソネッティーク","leaflet_w","","▲【ノベルティ】ウイスキー リーフレット","","","","","","","2","","0","2","0","0","","","","","","","2026/07/31","通常品","260731066870","","2026/07/31",""
